adm1,sum_pop,mean_pop,min_pop,max_pop,sum_2012,sum_2013,sum_2014,sum_2015,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,perc_2012,perc_2013,perc_2014,perc_2015,perc_2016,perc_2017,perc_2018,perc_2019,perc_2020
CAF.9,111894.0,27.7,18.2,38.7,1395.2,182.2,116.9,124.5,501.4,3118.5,2742.4,4749.5,4032.6,0.0125,0.0016,0.001,0.0011,0.0045,0.0279,0.0245,0.0424,0.036
CIV.1,2599164.2,17.6,3.7,37.4,2243073.2,2243586.0,2223289.0,2252583.2,2224199.2,2224575.2,2254045.2,2202324.5,2254900.5,0.863,0.8632,0.8554,0.8667,0.8557,0.8559,0.8672,0.8473,0.8675
CIV.10,904458.3,32.0,24.5,43.9,328474.2,353509.6,354364.8,379837.9,383094.5,391350.9,405564.4,441379.2,488580.0,0.3632,0.3909,0.3918,0.42,0.4236,0.4327,0.4484,0.488,0.5402
CIV.11,782969.3,35.1,22.0,51.5,379535.6,395515.4,390000.3,414142.5,406926.1,417646.4,446672.6,472563.1,506168.3,0.4847,0.5051,0.4981,0.5289,0.5197,0.5334,0.5705,0.6036,0.6465
CIV.12,469401.5,58.0,41.4,110.0,108283.8,119296.1,114307.0,119036.9,152852.6,154121.9,156944.0,180481.7,201815.2,0.2307,0.2541,0.2435,0.2536,0.3256,0.3283,0.3343,0.3845,0.4299
CIV.13,196392.1,11.9,5.1,14.0,133951.2,134574.8,130603.7,135564.7,131265.8,131025.3,135714.6,131984.5,135917.4,0.6821,0.6852,0.665,0.6903,0.6684,0.6672,0.691,0.672,0.6921
CIV.14,508340.8,64.5,40.0,110.9,141238.8,148224.3,152782.6,149844.0,190769.2,214815.7,216686.1,234639.8,245968.8,0.2778,0.2916,0.3006,0.2948,0.3753,0.4226,0.4263,0.4616,0.4839
CIV.2,1239585.3,177.5,132.4,272.0,352558.6,359581.1,346802.3,346019.9,355715.1,354691.0,353769.6,362503.1,377908.1,0.2844,0.2901,0.2798,0.2791,0.287,0.2861,0.2854,0.2924,0.3049
CIV.3,676458.0,99.3,57.6,200.2,282778.9,285913.5,281733.2,279047.4,288902.8,292866.6,294616.0,295094.5,311946.8,0.418,0.4227,0.4165,0.4125,0.4271,0.4329,0.4355,0.4362,0.4611
CIV.4,162416.2,11.8,6.7,18.0,43975.1,53080.9,52087.3,64628.7,70363.8,76387.5,79415.7,84147.2,87493.6,0.2708,0.3268,0.3207,0.3979,0.4332,0.4703,0.489,0.5181,0.5387
CIV.5,888758.2,17.1,9.9,30.6,442963.3,443617.7,436626.3,425320.2,440534.5,438851.5,430566.1,434796.6,439947.1,0.4984,0.4991,0.4913,0.4786,0.4957,0.4938,0.4845,0.4892,0.495
CIV.6,696461.9,39.1,22.0,60.2,337712.5,346398.7,348236.5,363968.6,358068.5,357742.0,371085.0,367797.8,393377.0,0.4849,0.4974,0.5,0.5226,0.5141,0.5137,0.5328,0.5281,0.5648
CIV.7,788530.7,38.0,21.6,127.2,362045.7,365634.3,352060.4,346256.9,350972.2,353712.2,359910.8,366172.7,374398.0,0.4591,0.4637,0.4465,0.4391,0.4451,0.4486,0.4564,0.4644,0.4748
CIV.8,1324524.8,39.1,17.8,79.1,344011.5,373113.7,385138.3,398732.8,407975.7,396683.7,412668.8,467606.0,507695.4,0.2597,0.2817,0.2908,0.301,0.308,0.2995,0.3116,0.353,0.3833
CIV.9,1278187.9,19.4,11.2,60.2,461327.1,467640.8,461562.5,445551.7,470281.4,469487.0,461673.3,483706.0,502302.4,0.3609,0.3659,0.3611,0.3486,0.3679,0.3673,0.3612,0.3784,0.393
CMR.1,668581.9,221.2,191.0,258.1,161140.6,157199.5,148071.3,161364.6,152988.3,147892.7,142920.5,145784.5,136575.4,0.241,0.2351,0.2215,0.2414,0.2288,0.2212,0.2138,0.2181,0.2043
