adm0,pop,mean_pop,min_pop,max_pop,sum_2012,sum_2013,sum_2014,sum_2015,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,hrea_2012,hrea_2013,hrea_2014,hrea_2015,hrea_2016,hrea_2017,hrea_2018,hrea_2019,hrea_2020
STP,102746.8,106.1,90.9,128.0,53134.8,54574.2,51264.4,54074.9,52662.6,53276.1,55482.8,0.0,20245.7,0.5171,0.5312,0.4989,0.5263,0.5125,0.5185,0.54,0.0,0.197
SUR,299872.7,308.5,221.9,459.1,200590.4,200409.9,192953.9,184347.0,191835.0,192740.4,184698.2,189595.5,184960.3,0.6689,0.6683,0.6435,0.6148,0.6397,0.6427,0.6159,0.6323,0.6168
SWZ,771157.0,295.2,202.7,438.6,265557.8,265163.9,242007.4,230032.9,240541.8,238869.8,207721.0,235823.5,221148.1,0.3444,0.3439,0.3138,0.2983,0.3119,0.3098,0.2694,0.3058,0.2868
TCD,7858107.8,658.9,447.4,894.7,728027.1,767981.5,723281.3,712079.0,778682.0,768349.3,699787.0,718945.2,737927.0,0.0926,0.0977,0.092,0.0906,0.0991,0.0978,0.0891,0.0915,0.0939
TGO,3356051.0,716.1,563.2,918.4,1038882.1,1077269.4,1044236.4,1161535.9,1189545.1,1173914.8,1202047.1,1207464.4,1261788.0,0.3096,0.321,0.3112,0.3461,0.3544,0.3498,0.3582,0.3598,0.376
THA,38506391.9,11864.1,10134.0,13928.8,23885849.4,23703891.2,22593169.0,22439988.1,22849861.6,22886494.3,22882201.6,22928642.5,22850494.3,0.6203,0.6156,0.5867,0.5828,0.5934,0.5944,0.5942,0.5955,0.5934
TJK,5959967.6,231.0,168.1,508.4,0.0,0.0,3699785.3,3776130.9,3761194.2,4318218.9,3747544.5,3795845.6,3927598.0,0.0,0.0,0.6208,0.6336,0.6311,0.7245,0.6288,0.6369,0.659
TLS,650561.5,936.9,676.5,1427.1,233610.0,254639.4,226847.0,233623.8,230643.2,235487.3,242680.6,268949.6,255681.6,0.3591,0.3914,0.3487,0.3591,0.3545,0.362,0.373,0.4134,0.393
TUN,7615905.6,1147.2,704.1,1964.7,5275242.9,5251351.0,5070011.2,5086284.2,5089986.9,5080333.4,5042281.3,5053825.7,5036884.7,0.6927,0.6895,0.6657,0.6679,0.6683,0.6671,0.6621,0.6636,0.6614
TZA,29473687.8,6950.7,5122.6,14166.3,7094943.1,7083534.9,6924416.7,7040672.8,7377158.4,7453576.3,7477217.5,7673107.9,7727820.8,0.2407,0.2403,0.2349,0.2389,0.2503,0.2529,0.2537,0.2603,0.2622
UGA,21376204.5,9839.7,7602.1,13837.0,2838490.6,2905488.1,2831602.3,2973540.3,2976216.6,3013789.0,3147908.8,3146730.1,3254520.0,0.1328,0.1359,0.1325,0.1391,0.1392,0.141,0.1473,0.1472,0.1522
URY,2094970.0,566.1,109.4,2839.8,1467529.7,1468575.8,1402792.0,1409204.8,1404798.1,1404450.7,1409140.4,1400995.6,1410132.8,0.7005,0.701,0.6696,0.6727,0.6706,0.6704,0.6726,0.6687,0.6731
VNM,53440980.5,24061.5,19340.6,33706.8,25902700.7,26654495.9,25049770.6,25475925.4,26216850.4,26345081.9,26742397.8,28343671.7,28288397.7,0.4847,0.4988,0.4687,0.4767,0.4906,0.493,0.5004,0.5304,0.5293
VUT,150596.2,1162.8,913.0,2578.7,31115.0,31056.0,29482.2,29630.8,30173.8,30201.2,31234.8,32579.8,30513.7,0.2066,0.2062,0.1958,0.1968,0.2004,0.2005,0.2074,0.2163,0.2026
ZAF,34024316.7,3238.1,1164.4,22268.4,25157851.2,25223662.3,24647716.4,24660606.4,24668681.4,24633678.6,24597540.9,24758891.4,24845214.5,0.7394,0.7413,0.7244,0.7248,0.725,0.724,0.7229,0.7277,0.7302
ZMB,9111058.7,1056.7,884.1,1388.3,3233294.5,3185346.1,3143048.4,3131442.2,3191989.2,3209042.9,3161196.8,3127373.7,3145343.5,0.3549,0.3496,0.345,0.3437,0.3503,0.3522,0.347,0.3433,0.3452
ZWE,9042657.1,5095.7,4511.0,6232.4,2269010.6,2233764.1,2076954.4,2090164.0,2061541.4,2031939.7,2041106.3,1998560.2,2017144.8,0.2509,0.247,0.2297,0.2311,0.228,0.2247,0.2257,0.221,0.2231
